LSOA11CD,LSOA11NM,area,NO2,NOx,PM25,PM10,AQ,IMD,IMD_R,population,pop_density,LAD11NM
E01000036,Barking_and_Dagenham 010B,0.429815692,22.67947475,31.87876568,10.23861039,17.21635486,305.1337868,19.27,5,1458,3392.15163,Barking_and_Dagenham
E01000037,Barking_and_Dagenham 003B,0.2375154,22.75895296,32.79409164,9.986459606,15.1935837,314.9710806,17.988,5,1912,8050.004342,Barking_and_Dagenham
E01000038,Barking_and_Dagenham 003C,0.212309086,23.11803682,33.5846771,10.01081349,15.15408476,312.2433057,19.646,5,1425,6711.912462,Barking_and_Dagenham
E01000039,Barking_and_Dagenham 003D,1.525446594,21.75778385,29.63066221,9.916203503,15.79335774,322.9593132,22.288,4,1710,1120.983197,Barking_and_Dagenham
E01000040,Barking_and_Dagenham 019A,0.169294176,26.35536513,39.87621519,10.54064654,16.14531436,283.304881,34.608,2,1793,10591.03176,Barking_and_Dagenham
E01000041,Barking_and_Dagenham 017A,0.151659253,26.15370564,40.10386608,10.49583938,15.96202205,284.766455,33.173,3,1818,11987.39913,Barking_and_Dagenham
E01000042,Barking_and_Dagenham 017B,0.232000359,26.2947965,39.98287509,10.49739185,15.98263334,284.4602673,41.573,2,2001,8624.986665,Barking_and_Dagenham
E01000043,Barking_and_Dagenham 019B,0.265312132,28.31449953,46.24367531,10.7967902,17.12174807,264.8421303,28.075,3,1518,5721.562707,Barking_and_Dagenham
E01000044,Barking_and_Dagenham 016D,0.17448581,27.91925687,44.69167742,10.72659845,16.70166448,269.7251012,28.389,3,1992,11416.40112,Barking_and_Dagenham
E01000045,Barking_and_Dagenham 017C,0.299586821,30.47094167,54.29821143,11.16280337,18.33717049,245.9880781,35.688,2,1802,6014.950841,Barking_and_Dagenham
E01000046,Barking_and_Dagenham 017D,0.157068613,24.93814932,36.55481174,10.31927452,15.54662849,296.7841453,29.763,3,1900,12096.62431,Barking_and_Dagenham
E01000048,Barking_and_Dagenham 021B,0.064038493,27.36324117,42.37663954,10.6779161,17.03268397,272.5292104,44.704,1,1044,16302.69474,Barking_and_Dagenham
E01000049,Barking_and_Dagenham 021C,0.21358064,31.0965119,54.92362504,11.250846,18.90203588,241.7064556,41.172,2,1921,8994.260921,Barking_and_Dagenham
E01000050,Barking_and_Dagenham 019C,0.13816282,28.1506912,44.86348888,10.82656235,17.25890054,265.8146104,34.701,2,1966,14229.58797,Barking_and_Dagenham
E01000051,Barking_and_Dagenham 021D,0.065796076,28.98745082,47.21184649,10.95065611,17.76537944,258.6255733,36.941,2,963,14636.13129,Barking_and_Dagenham
E01000052,Barking_and_Dagenham 019D,0.200565956,30.88129574,54.26801242,11.23664995,18.67214248,243.4911082,33.284,2,2258,11258.14196,Barking_and_Dagenham
E01000053,Barking_and_Dagenham 020A,0.178084687,25.96919395,41.71202527,10.3871177,16.15039772,283.1401224,40.044,2,1604,9006.950696,Barking_and_Dagenham
E01000054,Barking_and_Dagenham 018A,0.171032399,24.29841514,35.12933659,10.22670182,15.25542958,303.340005,29.788,3,1951,11407.19542,Barking_and_Dagenham
E01000055,Barking_and_Dagenham 018B,0.147235001,25.24551727,37.63035443,10.34488066,15.6071081,293.7254936,30.898,3,1707,11593.71062,Barking_and_Dagenham
E01000056,Barking_and_Dagenham 018C,0.248951149,25.06662024,37.73608413,10.28591663,15.71398767,294.002314,35.903,2,1675,6728.227641,Barking_and_Dagenham
E01000057,Barking_and_Dagenham 012A,0.146457005,25.27556897,37.56578532,10.37802017,15.59603102,293.5217326,32.887,3,1536,10487.71958,Barking_and_Dagenham
E01000058,Barking_and_Dagenham 018D,0.182167353,24.49163568,35.63650592,10.29005189,15.33959697,300.9094779,31.763,3,1990,10924.02107,Barking_and_Dagenham
E01000059,Barking_and_Dagenham 013C,0.209342566,23.89163893,34.29661322,10.16617676,15.14989906,307.1403995,32.331,3,1649,7877.041121,Barking_and_Dagenham
E01000060,Barking_and_Dagenham 006B,0.550401357,23.41884479,34.00302516,10.12455206,15.51255593,307.5571555,36.154,2,1999,3631.895118,Barking_and_Dagenham
E01000061,Barking_and_Dagenham 006C,0.605528215,23.63784399,34.70505868,10.11371997,15.42471711,306.1513908,46.283,1,1869,3086.561377,Barking_and_Dagenham
E01000062,Barking_and_Dagenham 006D,0.225914909,23.37530473,33.49888224,10.18256049,15.37724446,308.8571207,26.669,3,2378,10526.08706,Barking_and_Dagenham
E01000063,Barking_and_Dagenham 004A,0.18252155,24.37328216,36.45396483,10.32464512,15.73185433,297.5491546,33.371,2,1843,10097.43783,Barking_and_Dagenham
E01000064,Barking_and_Dagenham 006E,0.209303182,23.5436156,34.15922925,10.23523728,15.87635475,304.0480377,35.283,2,2204,10530.17912,Barking_and_Dagenham
E01000065,Barking_and_Dagenham 007A,0.231233972,24.43921996,36.40211007,10.34465436,15.64671426,297.710178,39.89,2,1779,7693.506216,Barking_and_Dagenham
